,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend
Jul-2009,5884.7,4798.1,4109.8,1401.3,2134.2,432.4,240.0,360.0,19360.6,6041.0,4898.3,4062.6,1414.3,2151.5,438.1,217.2,370.6,19593.6,6030.1,4898.9,4073.0,1413.1,2132.4,438.5,215.3,368.3,19561.2
Aug-2009,5861.6,4745.9,4094.5,1357.5,2078.3,422.9,236.1,359.9,19156.7,6068.5,4918.5,4091.0,1413.7,2138.2,440.0,217.2,372.1,19659.3,6076.1,4914.4,4079.3,1415.7,2142.5,440.5,216.8,370.2,19650.1
Sep-2009,5852.2,4724.0,4045.1,1354.5,2059.2,417.3,221.9,356.1,19030.3,6057.2,4949.2,4076.9,1409.5,2128.1,441.0,216.7,370.6,19649.3,6128.9,4933.6,4088.2,1419.6,2152.1,442.2,218.7,371.7,19752.8
Oct-2009,6315.2,5001.0,4231.3,1454.2,2228.4,457.7,230.9,375.8,20294.6,6166.7,4888.3,4091.7,1413.3,2156.6,446.9,221.9,368.7,19754.1,6177.7,4952.8,4096.5,1423.7,2161.0,443.1,220.3,372.8,19848.3
Nov-2009,6603.4,5244.2,4195.0,1496.9,2232.7,457.5,220.0,390.5,20840.1,6301.9,5032.2,4111.0,1460.4,2183.8,444.9,223.0,377.3,20134.6,6212.3,4971.4,4100.8,1427.8,2170.0,442.9,221.5,374.0,19921.7
Dec-2009,8259.6,6542.1,5218.1,1827.9,2811.2,571.0,249.9,478.8,25958.5,6273.0,4964.3,4112.0,1415.7,2185.8,441.8,223.3,375.6,19991.5,6227.9,4989.3,4099.9,1432.7,2179.3,441.9,222.5,375.2,19969.4
Jan-2010,6229.9,4930.7,4049.3,1434.6,2154.7,431.7,195.6,365.6,19792.0,6243.0,5034.7,4102.7,1449.1,2190.7,436.0,221.0,376.3,20053.3,6228.3,5006.9,4093.8,1438.6,2186.9,440.9,223.5,376.4,19995.3
Feb-2010,5389.3,4403.5,3528.5,1257.3,1926.3,404.4,188.9,333.3,17431.5,6128.4,5024.6,4086.2,1430.1,2182.1,440.8,223.8,375.9,19891.7,6222.5,5025.5,4086.9,1445.5,2191.2,440.2,224.6,377.6,20013.9
Mar-2010,6038.6,4918.8,3925.1,1440.5,2135.8,442.0,214.6,374.9,19490.3,6222.5,5007.7,4046.9,1436.0,2184.0,438.4,225.0,379.3,19939.8,6224.8,5047.3,4084.0,1452.9,2191.9,439.7,225.6,378.6,20044.7
Apr-2010,5846.5,4847.3,3829.7,1403.2,2104.1,421.0,216.0,364.1,19032.0,6220.7,5087.3,4108.9,1483.7,2208.4,441.4,229.4,380.3,20160.2,6246.3,5075.1,4089.0,1459.6,2191.8,439.1,226.5,379.3,20106.7
May-2010,6087.5,4944.4,3927.7,1417.9,2133.7,422.3,225.4,374.5,19533.6,6301.9,5104.7,4086.4,1471.3,2189.9,441.2,227.0,378.3,20200.6,6283.5,5108.1,4101.4,1464.5,2193.1,438.1,227.4,379.6,20195.7
Jun-2010,6005.4,4896.5,3933.1,1398.0,2095.4,406.7,230.9,373.2,19339.1,6333.6,5140.5,4101.2,1462.8,2194.2,436.2,226.6,382.7,20277.7,6319.8,5142.7,4116.5,1465.9,2196.1,436.8,227.5,379.6,20285.0
Jul-2010,6215.9,5095.4,4242.8,1449.5,2179.7,427.4,252.5,368.6,20231.6,6347.9,5186.3,4166.5,1460.4,2187.7,432.8,226.3,377.7,20385.6,6340.4,5173.8,4129.4,1462.6,2199.2,435.5,226.6,379.3,20346.9
Aug-2010,6144.2,5016.8,4145.1,1398.9,2132.5,414.2,244.3,364.9,19860.8,6401.7,5198.3,4146.2,1453.5,2204.0,432.8,225.6,380.5,20442.5,6343.0,5198.7,4137.5,1456.4,2202.1,434.5,224.7,379.5,20376.2
Sep-2010,6174.6,5041.3,4123.5,1396.5,2170.8,411.9,235.2,362.6,19916.3,6336.9,5231.7,4144.8,1450.8,2228.4,432.5,227.5,376.8,20429.4,6335.6,5212.1,4140.8,1449.4,2206.4,433.6,222.5,380.4,20380.7
Oct-2010,6333.6,5262.2,4197.5,1475.4,2256.8,438.9,223.0,387.9,20575.4,6249.4,5184.4,4108.4,1449.6,2210.0,436.3,218.2,381.3,20237.6,6330.1,5211.4,4140.3,1444.6,2214.6,432.7,220.9,382.1,20376.6
Nov-2010,6621.3,5437.4,4263.7,1494.5,2281.2,451.2,215.1,399.3,21163.7,6314.6,5223.0,4143.1,1438.4,2216.5,434.5,216.1,385.6,20371.8,6332.3,5202.3,4140.4,1442.8,2227.1,431.4,220.6,383.9,20380.9
Dec-2010,8387.7,6952.0,5270.5,1846.1,2849.9,559.3,243.8,489.9,26599.2,6363.7,5240.7,4162.9,1427.6,2220.1,429.7,218.9,384.6,20448.3,6343.9,5193.9,4144.4,1443.0,2243.4,429.8,221.6,385.4,20405.8
Jan-2011,6343.8,5007.6,4074.3,1423.4,2221.6,415.1,199.4,378.6,20063.7,6370.7,5149.7,4152.5,1451.8,2273.5,422.0,224.5,391.0,20435.8,6355.7,5195.2,4155.2,1444.1,2262.8,428.1,223.7,386.0,20451.3
Feb-2011,5614.9,4513.7,3705.4,1272.1,2040.2,394.9,194.9,343.2,18079.3,6387.1,5155.1,4291.1,1449.8,2307.2,429.6,230.8,383.7,20634.3,6358.3,5209.8,4171.2,1444.2,2283.8,426.8,226.1,385.3,20506.0
Mar-2011,6136.0,5081.9,4004.6,1435.7,2254.5,423.6,219.4,378.1,19933.8,6356.1,5204.8,4165.3,1448.6,2303.2,425.4,229.4,382.2,20514.9,6348.8,5236.4,4189.0,1441.9,2305.5,426.3,228.0,383.7,20560.0
Apr-2011,6053.8,5140.5,4018.3,1390.6,2227.1,415.6,215.1,372.0,19833.0,6343.6,5348.9,4244.6,1440.7,2314.9,428.5,228.4,382.8,20732.4,6332.4,5267.4,4208.0,1437.6,2325.6,426.9,228.8,381.7,20608.7
May-2011,6038.9,5127.7,4068.0,1380.1,2269.0,408.2,224.8,371.3,19888.1,6301.6,5312.3,4233.5,1431.2,2340.6,428.0,227.6,379.7,20654.7,6320.6,5295.5,4226.9,1432.7,2343.2,428.6,228.9,380.3,20656.8
Jun-2011,5971.9,5078.4,4068.6,1349.0,2268.3,401.0,234.0,367.2,19738.3,6252.6,5298.5,4228.7,1416.2,2360.4,428.0,227.9,378.5,20590.9,6322.9,5313.6,4245.6,1429.4,2360.4,430.9,229.1,379.6,20711.7
Jul-2011,6161.2,5182.8,4285.9,1402.5,2347.1,421.0,252.4,366.8,20419.6,6355.3,5315.9,4252.3,1426.8,2387.3,432.3,229.8,377.9,20777.6,6342.0,5319.7,4260.9,1430.0,2378.5,433.4,229.8,379.5,20773.8
Aug-2011,6175.6,5142.0,4294.8,1393.3,2342.0,423.6,251.0,366.1,20388.3,6407.3,5322.3,4281.8,1436.1,2401.2,438.2,230.0,380.1,20896.9,6373.5,5318.1,4270.6,1434.0,2397.3,435.5,231.0,379.5,20839.3
Sep-2011,6255.1,5140.8,4298.1,1403.2,2346.2,421.0,241.8,369.6,20475.9,6406.7,5289.4,4293.6,1444.4,2397.3,439.2,232.9,383.2,20886.6,6405.1,5315.5,4276.5,1438.7,2414.7,436.6,232.1,379.6,20898.8
Oct-2011,6482.9,5378.4,4331.6,1455.3,2475.6,433.6,240.1,385.9,21183.4,6408.9,5342.8,4275.7,1444.8,2439.5,435.9,235.1,382.4,20965.1,6423.7,5316.8,4282.6,1442.4,2430.8,436.2,232.8,380.2,20945.6
Nov-2011,6781.2,5513.6,4428.6,1515.9,2547.3,453.6,232.8,391.2,21864.2,6455.1,5292.6,4304.8,1449.6,2460.3,436.7,235.1,375.5,21009.7,6424.9,5320.3,4291.4,1444.6,2447.2,434.9,233.3,381.4,20978.0
Dec-2011,8558.2,7119.7,5414.5,1869.2,3157.0,563.4,255.6,487.9,27425.4,6468.1,5359.2,4266.1,1447.2,2454.6,432.1,229.1,380.8,21037.1,6413.8,5320.8,4303.4,1445.8,2465.5,433.2,233.5,383.3,20999.3
Jan-2012,6317.7,5159.4,4230.3,1405.3,2412.3,420.7,208.1,375.8,20529.6,6381.8,5308.2,4313.2,1431.9,2480.6,426.6,234.4,389.7,20966.5,6405.8,5321.1,4322.6,1447.8,2486.4,431.9,234.0,386.0,21035.6
Feb-2012,5764.9,4796.1,3915.6,1319.8,2297.7,412.0,205.7,359.3,19071.2,6341.2,5300.7,4376.9,1452.3,2503.7,432.1,235.5,388.3,21030.7,6415.0,5324.4,4350.1,1451.2,2509.7,431.4,235.1,389.0,21106.0
Mar-2012,6271.1,5302.3,4259.0,1456.0,2517.6,438.0,229.0,395.1,20868.1,6421.3,5371.6,4382.9,1457.8,2541.2,433.6,236.8,394.5,21239.8,6444.1,5332.3,4382.5,1455.3,2533.4,431.2,236.8,392.1,21207.8
Apr-2012,6116.0,5024.6,4098.0,1385.9,2397.4,410.0,220.0,376.9,20028.9,6499.6,5294.8,4400.0,1466.8,2554.9,431.7,237.2,394.1,21279.2,6489.6,5344.7,4414.7,1459.0,2556.3,430.9,238.7,395.1,21329.1
May-2012,6350.6,5201.0,4306.5,1424.9,2547.8,413.4,240.2,388.6,20873.1,6556.9,5348.7,4433.7,1457.6,2589.9,428.7,240.2,396.2,21451.9,6542.3,5358.6,4443.6,1461.5,2578.3,430.0,240.2,397.7,21452.2
Jun-2012,6353.2,5195.4,4365.0,1404.9,2510.0,406.0,252.3,391.4,20878.1,6643.2,5414.9,4509.0,1467.7,2597.3,431.2,245.3,400.8,21709.5,6588.5,5368.2,4467.1,1461.5,2598.9,428.0,240.9,399.9,21553.0
Jul-2012,6337.6,5186.0,4465.2,1408.4,2517.1,407.1,263.1,380.0,20964.6,6609.3,5379.8,4470.8,1448.2,2605.7,423.2,240.6,396.7,21574.3,6615.7,5370.3,4484.1,1458.4,2617.6,425.1,240.9,401.4,21613.4
Aug-2012,6444.8,5271.5,4541.1,1428.2,2596.0,413.4,261.9,395.1,21352.0,6604.8,5359.6,4484.7,1456.9,2623.4,422.7,238.9,408.9,21599.8,6620.1,5363.1,4494.9,1453.5,2633.7,422.2,240.6,401.6,21629.6
Sep-2012,6434.3,5130.7,4458.2,1405.1,2577.8,396.3,244.7,393.2,21040.2,6635.2,5354.0,4514.3,1458.2,2658.5,422.1,238.5,404.1,21684.7,6613.0,5352.4,4503.0,1448.2,2646.1,420.1,240.3,400.6,21623.9
Oct-2012,6664.3,5350.9,4588.3,1461.4,2726.9,414.6,247.0,397.0,21850.4,6602.6,5324.4,4523.3,1440.3,2677.6,415.3,241.7,395.7,21621.0,6608.1,5344.6,4512.2,1443.2,2655.2,419.5,240.5,399.4,21622.7
Nov-2012,7003.2,5633.8,4675.8,1500.3,2775.7,436.2,239.1,416.0,22680.2,6596.6,5336.0,4499.7,1427.8,2652.4,415.5,239.2,399.2,21566.4,6613.8,5343.1,4525.8,1438.8,2660.1,420.0,241.1,398.9,21641.6
Dec-2012,8598.7,6969.2,5641.4,1814.6,3346.2,543.2,265.4,497.7,27676.4,6592.2,5341.3,4531.6,1435.8,2652.0,424.6,242.0,391.3,21610.8,6633.0,5350.4,4544.1,1435.5,2662.5,421.1,241.8,399.8,21688.3
Jan-2013,6647.5,5274.0,4516.7,1434.9,2601.0,425.0,220.9,390.6,21510.6,6649.5,5365.4,4553.8,1443.6,2653.3,424.9,245.8,403.2,21739.7,6661.8,5362.4,4564.6,1433.7,2664.6,422.0,242.0,402.3,21753.4
Feb-2013,5927.2,4748.3,4028.0,1258.2,2374.1,392.1,203.8,368.2,19299.8,6752.6,5407.1,4643.3,1431.1,2678.2,425.0,240.7,409.7,21987.7,6691.3,5374.1,4583.5,1433.8,2667.9,422.2,241.4,405.7,21819.8
Mar-2013,6531.4,5283.1,4439.8,1434.8,2650.5,427.1,230.0,413.9,21410.5,6713.2,5384.8,4577.5,1436.1,2679.0,422.0,241.8,411.1,21865.5,6714.9,5383.2,4599.5,1436.6,2672.9,421.9,240.7,409.0,21878.6
Apr-2013,6340.0,5106.1,4292.0,1359.1,2490.2,395.8,223.2,394.6,20601.1,6742.4,5365.9,4605.6,1436.2,2656.9,417.6,238.2,412.4,21875.1,6730.0,5390.4,4612.3,1442.4,2677.8,421.6,240.5,411.0,21926.1
May-2013,6542.1,5280.5,4512.4,1419.7,2674.5,410.6,240.7,400.5,21481.0,6739.9,5409.2,4625.3,1450.2,2705.3,422.7,240.4,409.5,22002.5,6739.0,5398.4,4623.7,1450.5,2679.4,422.2,241.5,411.8,21966.6
Jun-2013,6413.3,5154.2,4445.1,1376.1,2559.3,389.8,245.2,401.5,20984.5,6735.7,5413.3,4638.2,1453.4,2678.7,421.1,240.0,413.1,21993.5,6749.6,5411.9,4637.8,1459.9,2678.1,424.3,243.6,411.9,22017.2
Jul-2013,6480.5,5221.0,4649.2,1448.0,2590.2,417.8,273.7,393.8,21474.2,6740.9,5424.8,4640.7,1481.0,2667.6,430.5,248.4,410.7,22044.6,6768.6,5433.7,4656.5,1469.4,2677.3,427.9,246.4,412.2,22091.8
Aug-2013,6675.2,5387.6,4741.6,1453.0,2664.4,424.0,277.7,400.5,22024.0,6804.9,5453.1,4677.5,1479.4,2687.2,434.6,252.1,411.6,22200.4,6802.4,5464.9,4678.4,1477.0,2679.5,432.8,249.0,413.3,22197.0
Sep-2013,6604.1,5262.9,4632.1,1423.8,2563.7,409.0,258.4,397.9,21551.9,6875.1,5513.4,4713.2,1486.5,2664.3,435.6,252.5,414.0,22354.7,6851.1,5504.2,4700.3,1481.8,2686.6,438.5,250.8,414.8,22328.1
Oct-2013,7028.2,5618.7,4819.3,1505.5,2758.9,443.1,257.7,422.3,22853.7,6897.7,5531.5,4725.0,1472.4,2687.8,444.1,251.2,419.0,22428.7,6912.0,5546.3,4718.8,1484.5,2696.9,444.3,252.0,416.1,22471.5
Nov-2013,7393.5,5881.1,4914.0,1566.6,2860.6,467.7,251.5,436.1,23771.3,6961.4,5602.1,4738.2,1489.2,2725.8,447.3,252.0,415.0,22630.9,6982.5,5587.8,4734.6,1485.5,2707.6,449.5,252.7,416.6,22618.1
Dec-2013,9189.0,7356.6,5909.5,1879.1,3417.4,585.2,270.4,530.4,29137.6,7104.8,5669.1,4761.4,1489.3,2727.1,458.4,248.3,419.7,22878.0,7122.1,5673.0,4779.0,1485.7,2714.9,453.7,253.4,415.8,22900.8
Jan-2014,7237.4,5654.3,4787.3,1497.2,2681.9,468.0,233.9,400.6,22960.6,7229.8,5723.4,4793.1,1504.2,2715.9,461.1,259.3,413.7,23100.5,7184.2,5699.1,4788.1,1485.6,2716.2,456.7,254.4,413.8,23001.2
Feb-2014,6355.1,5033.2,4173.5,1312.8,2415.3,419.9,216.1,369.2,20295.0,7235.6,5720.4,4799.7,1492.2,2724.4,454.7,255.0,410.1,23092.1,7232.6,5714.6,4794.8,1485.8,2713.1,458.6,255.7,411.0,23068.9
Mar-2014,7045.2,5560.5,4596.0,1453.4,2624.7,454.3,243.9,408.2,22386.2,7302.2,5705.1,4801.1,1483.0,2690.6,458.1,256.7,409.7,23106.6,7267.0,5724.3,4799.8,1486.6,2708.9,459.9,256.8,408.5,23113.4
Apr-2014,6914.8,5492.2,4512.1,1426.3,2559.4,442.1,239.1,389.7,21975.8,7295.3,5754.4,4801.2,1485.8,2700.2,461.0,256.5,405.0,23159.4,7291.0,5734.5,4802.0,1488.7,2706.9,461.1,257.4,407.1,23149.4
May-2014,7078.5,5598.7,4694.4,1463.5,2676.0,446.9,260.7,401.4,22620.1,7252.7,5720.5,4804.7,1491.9,2705.0,460.5,259.1,406.2,23100.7,7313.0,5749.9,4801.8,1492.7,2710.0,462.3,257.5,407.5,23194.6
Jun-2014,6932.2,5464.0,4583.6,1408.7,2586.1,433.2,263.9,389.6,22061.3,7323.1,5756.6,4792.3,1496.2,2726.3,466.9,258.2,406.7,23226.4,7342.4,5772.1,4799.5,1499.3,2717.1,463.5,257.1,409.8,23260.3
Jul-2014,7178.3,5614.7,4841.7,1489.8,2661.2,451.1,280.3,400.2,22917.2,7419.8,5798.4,4807.2,1514.0,2727.5,464.0,254.0,415.9,23400.9,7381.8,5797.2,4795.6,1508.0,2725.5,464.2,256.6,413.7,23342.4
Aug-2014,7135.1,5685.7,4790.4,1472.7,2682.3,448.5,279.3,404.3,22898.2,7406.7,5851.9,4788.2,1514.3,2735.7,464.9,257.5,417.9,23437.0,7427.0,5820.2,4792.7,1517.3,2733.1,464.0,256.4,418.2,23429.1
Sep-2014,7330.2,5689.1,4768.1,1482.5,2669.2,443.6,263.8,410.8,23057.2,7534.8,5893.8,4818.4,1532.2,2754.7,467.8,255.5,425.4,23682.6,7526.5,5884.4,4816.1,1536.7,2755.3,466.6,256.2,424.2,23665.7
Oct-2014,7759.8,6023.4,4947.3,1589.9,2853.1,466.8,262.0,430.5,24332.7,7585.9,5897.8,4830.7,1550.9,2762.2,463.2,255.3,426.6,23772.6,7564.1,5899.2,4825.1,1544.3,2762.0,466.5,256.1,426.8,23744.0
Nov-2014,8020.7,6151.9,4939.0,1622.5,2870.1,481.7,254.6,452.9,24793.5,7593.1,5897.8,4812.3,1557.7,2761.5,468.2,257.4,431.5,23779.6,7592.2,5912.9,4844.0,1551.0,2769.6,467.3,256.1,427.8,23821.0
Dec-2014,9825.4,7645.5,6048.6,1968.1,3517.5,594.1,282.4,544.2,30425.9,7600.4,5905.1,4859.5,1552.3,2778.4,464.8,257.8,430.9,23849.3,7612.5,5927.9,4870.6,1556.7,2777.4,469.2,256.1,427.8,23898.2
Jan-2015,7663.1,5904.7,4937.5,1546.2,2751.1,480.2,229.7,412.0,23924.6,7629.5,5955.9,4917.6,1552.5,2777.8,472.4,253.1,420.1,23978.8,7629.9,5946.5,4899.8,1561.8,2784.3,471.5,255.9,427.7,23977.6
Feb-2015,6730.3,5283.1,4302.5,1383.7,2494.4,440.5,218.4,387.0,21239.9,7661.9,5991.5,4938.3,1572.2,2816.3,477.7,257.3,429.5,24144.8,7648.0,5967.6,4926.9,1566.8,2789.3,473.5,255.7,428.2,24056.0
Mar-2015,7455.4,5887.7,4807.2,1562.9,2723.4,480.2,242.0,425.4,23584.2,7660.3,5982.6,4967.2,1572.8,2784.8,477.2,255.5,427.3,24127.8,7671.1,5989.3,4947.8,1571.3,2792.2,474.7,255.6,429.7,24131.6
Apr-2015,7250.0,5726.7,4618.5,1491.8,2626.0,448.6,239.2,412.1,22812.9,7695.9,6018.8,4949.2,1578.9,2783.1,473.4,255.7,432.5,24187.5,7701.6,6011.1,4960.7,1575.5,2794.3,475.2,255.8,431.9,24206.0
May-2015,7476.0,5838.6,4796.4,1535.3,2743.5,458.0,253.8,430.9,23532.6,7710.0,6023.9,4953.8,1573.4,2798.7,474.4,254.6,436.7,24225.6,7738.3,6036.5,4965.5,1579.1,2797.3,475.5,256.3,434.0,24282.5
Jun-2015,7436.6,5777.1,4775.5,1508.9,2666.1,444.0,265.9,419.4,23293.5,7802.8,6056.2,4966.3,1586.8,2800.6,474.1,257.4,436.8,24381.1,7777.9,6068.4,4965.6,1581.9,2802.8,476.3,257.1,435.2,24365.2
Jul-2015,7575.9,5914.6,5035.1,1558.5,2756.5,468.5,286.8,419.9,24015.9,7826.0,6100.7,4982.9,1583.1,2808.3,478.2,259.6,436.4,24475.3,7818.1,6107.4,4965.2,1584.5,2810.6,478.0,257.7,435.6,24457.1
Aug-2015,7542.5,5938.6,4923.3,1525.5,2738.8,457.8,278.6,419.0,23824.2,7868.9,6152.1,4966.5,1584.5,2817.2,480.7,257.2,435.7,24562.7,7857.5,6150.7,4967.0,1587.9,2818.7,480.7,258.4,436.0,24556.9
Sep-2015,7664.8,5985.7,4898.0,1550.3,2762.2,459.6,267.0,421.2,24008.9,7872.3,6202.1,4951.9,1594.8,2833.2,484.2,260.0,436.6,24635.1,7894.3,6191.7,4971.8,1592.6,2824.3,483.7,259.2,437.8,24655.3
Oct-2015,8168.2,6396.2,5108.8,1640.8,2928.2,492.0,267.3,445.7,25447.3,7937.6,6242.8,4973.3,1595.6,2830.5,488.4,259.2,436.0,24763.4,7928.5,6226.2,4980.4,1598.1,2825.5,486.6,260.1,441.3,24746.7
Nov-2015,8351.7,6507.8,5119.8,1661.9,2921.8,503.6,256.8,460.1,25783.5,7946.5,6248.0,4998.6,1605.2,2829.9,489.0,259.9,442.8,24819.9,7962.0,6252.8,4992.7,1604.5,2824.7,489.4,260.9,446.6,24833.5
Dec-2015,10383.7,8159.5,6262.0,2050.8,3574.5,626.6,286.0,580.0,31923.0,8004.5,6271.3,5004.6,1610.7,2811.7,489.5,260.4,459.2,24912.0,7994.5,6270.8,5004.5,1611.1,2823.9,492.1,261.5,452.3,24910.8
Jan-2016,7997.5,6168.4,5016.9,1601.9,2778.8,501.8,238.7,449.2,24753.1,8032.8,6276.3,5026.1,1619.9,2822.3,495.7,266.2,458.3,24997.5,8024.6,6283.3,5012.3,1617.2,2823.8,494.6,261.8,456.9,24974.6
Feb-2016,7301.0,5740.6,4517.4,1472.4,2572.8,472.2,228.9,429.5,22734.9,8038.1,6284.0,5015.9,1622.2,2812.2,496.3,260.2,461.9,24990.8,8047.7,6291.6,5014.6,1622.3,2825.4,496.6,261.3,459.6,25019.0
Mar-2016,7847.1,6179.5,4878.9,1617.2,2792.3,502.2,245.1,455.0,24517.3,8072.6,6320.2,5038.4,1627.7,2838.7,499.5,259.7,460.8,25117.7,8062.0,6295.5,5014.0,1627.0,2827.3,498.0,260.0,460.1,25044.0
Apr-2016,7703.5,6088.0,4726.8,1569.5,2712.5,481.7,246.8,447.1,23975.9,8088.8,6293.6,5004.9,1635.8,2847.6,501.7,259.4,459.2,25091.0,8069.8,6298.1,5017.0,1632.4,2828.4,498.9,258.4,459.5,25062.5
May-2016,7796.0,6083.8,4781.0,1582.6,2721.3,478.1,254.9,445.9,24143.5,8068.0,6299.9,4976.4,1628.8,2815.0,497.5,256.7,456.0,24998.3,8076.7,6303.5,5030.2,1638.9,2828.2,499.5,256.9,459.2,25093.3
Jun-2016,7756.2,6072.5,4894.2,1568.5,2708.3,465.8,262.7,437.2,24165.3,8087.2,6326.0,5077.0,1643.2,2824.5,496.4,254.4,457.6,25166.2,8088.9,6315.8,5055.3,1645.6,2827.1,500.0,256.1,460.1,25149.0
Jul-2016,7792.0,6059.4,5104.3,1621.3,2764.9,490.2,281.4,450.1,24563.7,8080.1,6291.2,5075.9,1656.5,2828.0,503.0,255.2,462.0,25151.9,8112.1,6337.0,5089.5,1651.0,2826.0,500.8,256.3,462.2,25235.0
Aug-2016,7805.4,6127.3,5100.1,1609.9,2743.7,481.2,278.2,445.6,24591.3,8134.7,6354.4,5140.1,1663.4,2814.6,502.6,257.0,467.0,25333.8,8146.5,6367.0,5125.8,1655.3,2826.6,502.2,257.3,465.0,25345.7
Sep-2016,8043.8,6270.8,5141.5,1622.5,2779.4,483.4,268.9,453.5,25063.6,8200.8,6447.8,5165.0,1662.8,2838.2,504.6,260.9,469.3,25549.4,8188.2,6401.1,5156.9,1658.9,2828.6,504.0,259.0,468.0,25464.6
Oct-2016,8383.1,6508.1,5257.2,1678.8,2899.8,501.9,265.5,480.2,25974.6,8237.7,6427.8,5189.4,1657.3,2840.4,505.0,260.3,471.1,25588.8,8230.1,6432.0,5174.0,1662.4,2831.3,506.0,260.8,470.4,25567.2
Nov-2016,8744.0,6752.1,5337.8,1729.3,2940.9,524.7,259.5,492.7,26781.1,8281.0,6458.5,5174.0,1649.3,2819.0,505.7,260.8,471.0,25619.2,8263.6,6454.4,5176.1,1666.6,2833.4,507.8,262.2,472.1,25636.2
Dec-2016,10783.1,8457.6,6527.7,2139.2,3637.2,659.1,293.2,603.0,33100.2,8297.3,6476.4,5176.3,1677.0,2843.4,512.7,264.9,472.5,25720.5,8285.1,6470.3,5167.5,1672.2,2834.6,509.2,262.7,473.3,25674.9
Jan-2017,8199.0,6355.5,5111.9,1662.1,2764.9,515.9,234.2,462.5,25306.2,8294.6,6497.9,5154.7,1693.8,2835.7,511.6,263.5,476.5,25728.2,8298.1,6483.7,5155.6,1679.6,2835.9,510.6,262.4,474.4,25700.2
Feb-2017,7298.9,5710.5,4493.7,1485.6,2506.4,469.8,223.4,426.7,22615.0,8301.6,6461.1,5146.5,1685.1,2832.1,511.2,262.9,474.7,25675.2,8309.9,6500.6,5147.1,1688.3,2837.7,512.5,261.6,475.6,25733.2
Mar-2017,8085.8,6412.4,4925.8,1668.2,2797.4,512.0,244.6,467.4,25113.5,8308.7,6509.3,5089.8,1684.9,2841.3,510.9,257.8,474.3,25676.9,8325.2,6524.6,5147.2,1696.1,2840.9,514.4,260.8,477.0,25786.2
Apr-2017,7883.7,6286.0,4892.7,1625.6,2693.2,492.8,244.9,464.3,24583.1,8319.2,6558.9,5199.8,1703.4,2844.4,515.7,259.9,479.0,25880.4,8344.0,6551.0,5155.5,1700.7,2845.0,516.0,260.5,478.0,25850.7
May-2017,8132.0,6396.5,4940.1,1668.4,2767.0,500.5,258.6,469.9,25133.2,8387.5,6605.4,5137.2,1709.8,2845.3,519.4,258.8,481.2,25944.7,8363.7,6573.5,5168.5,1701.9,2847.2,517.0,260.5,478.6,25910.8
Jun-2017,8130.1,6368.2,5050.6,1648.8,2740.3,496.6,272.7,460.2,25167.5,8401.8,6588.0,5206.1,1711.3,2846.9,522.4,262.2,477.8,26016.4,8377.4,6588.9,5178.7,1701.0,2845.5,517.3,260.7,478.4,25947.9
Jul-2017,8061.9,6347.9,5192.6,1648.1,2776.6,498.4,288.9,464.2,25278.6,8406.4,6624.1,5206.1,1703.7,2853.6,516.9,263.2,479.3,26053.4,8385.0,6599.4,5181.3,1701.0,2840.1,517.2,260.8,477.6,25962.5
